@ NAME             %08s "TRACKONE"
@ TYPE             %08s "TRACKONE"
@ TITLE            %08s "no-title"
@ ORIGIN           %23s "MAD-X 5.00.15 Darwin 64"
@ DATE             %08s "01/04/12"
@ TIME             %08s "18.32.06"
*     NUMBER       TURN                  X                 PX                  Y                 PY                  T                 PT                  S                  E 
$         %d         %d                %le                %le                %le                %le                %le                %le                %le                %le 
#segment       1      13      80       0 start                                           
          1          0                  1                  0                0.1                  0                  0                  0                  0                6.7
          2          0                0.1                  0               0.01                  0                  0                  0                  0                6.7
          3          0               0.01                  0              0.001                  0                  0                  0                  0                6.7
          4          0              0.001                  0             0.0001                  0                  0                  0                  0                6.7
          5          0             0.0001                  0              1e-05                  0                  0                  0                  0                6.7
          6          0                 -1                  0               -0.1                  0                  0                  0                  0                6.7
          7          0               -0.1                  0              -0.01                  0                  0                  0                  0                6.7
          8          0              -0.01                  0             -0.001                  0                  0                  0                  0                6.7
          9          0             -0.001                  0            -0.0001                  0                  0                  0                  0                6.7
         10          0            -0.0001                  0             -1e-05                  0                  0                  0                  0                6.7
         11          0                  2                  0                0.2                  0                  0                  0                  0                6.7
         12          0                0.2                  0               0.02                  0                  0                  0                  0                6.7
         13          0               0.02                  0              0.002                  0                  0                  0                  0                6.7
         14          0              0.002                  0             0.0002                  0                  0                  0                  0                6.7
         15          0             0.0002                  0              2e-05                  0                  0                  0                  0                6.7
         16          0                 -2                  0               -0.2                  0                  0                  0                  0                6.7
         17          0               -0.2                  0              -0.02                  0                  0                  0                  0                6.7
         18          0              -0.02                  0             -0.002                  0                  0                  0                  0                6.7
         19          0             -0.002                  0            -0.0002                  0                  0                  0                  0                6.7
         20          0            -0.0002                  0             -2e-05                  0                  0                  0                  0                6.7
         21          0                  3                  0                0.3                  0                  0                  0                  0                6.7
         22          0                0.3                  0               0.03                  0                  0                  0                  0                6.7
         23          0               0.03                  0              0.003                  0                  0                  0                  0                6.7
         24          0              0.003                  0             0.0003                  0                  0                  0                  0                6.7
         25          0             0.0003                  0              3e-05                  0                  0                  0                  0                6.7
         26          0                 -3                  0               -0.3                  0                  0                  0                  0                6.7
         27          0               -0.3                  0              -0.03                  0                  0                  0                  0                6.7
         28          0              -0.03                  0             -0.003                  0                  0                  0                  0                6.7
         29          0             -0.003                  0            -0.0003                  0                  0                  0                  0                6.7
         30          0            -0.0003                  0             -3e-05                  0                  0                  0                  0                6.7
         31          0                  4                  0                0.4                  0                  0                  0                  0                6.7
         32          0                0.4                  0               0.04                  0                  0                  0                  0                6.7
         33          0               0.04                  0              0.004                  0                  0                  0                  0                6.7
         34          0              0.004                  0             0.0004                  0                  0                  0                  0                6.7
