@ NAME             %09s "PTC_TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %03s "SEQ"
@ PARTICLE         %08s "POSITRON"
@ MASS             %le    0.00051
@ CHARGE           %le    1.00000
@ ENERGY           %le    1.00000
@ PC               %le    1.00000
@ GAMMA            %le  1956.95127
@ KBUNCH           %le    1.00000
@ BCURRENT         %le    0.00000
@ SIGE             %le    0.00000
@ SIGT             %le    0.00000
@ NPART            %le    0.00000
@ EX               %le    1.00000
@ EY               %le    1.00000
@ ET               %le    1.00000
@ DELTAP           %le    0.00000
@ LENGTH           %le    0.00000
@ ALPHA_C          %le  -1000000.00000
@ ALPHA_C_P        %le  -1000000.00000
@ ALPHA_C_P2       %le  -1000000.00000
@ ALPHA_C_P3       %le  -1000000.00000
@ ETA_C            %le  -1000000.00000
@ GAMMA_TR         %le  -1000000.00000
@ Q1               %le    0.00000
@ Q2               %le    0.00000
@ DQ1              %le  -1000000.00000
@ DQ2              %le  -1000000.00000
@ QS               %le  -1000000.00000
@ BETA_X_MIN       %le    1.00000
@ BETA_X_MAX       %le    1.00000
@ BETA_Y_MIN       %le    1.00000
@ BETA_Y_MAX       %le    1.00000
@ BETA11MIN        %le    1.00000
@ BETA11MAX        %le    1.00000
@ BETA12MIN        %le    0.00000
@ BETA12MAX        %le    0.00000
@ BETA13MIN        %le    0.00000
@ BETA13MAX        %le    0.00000
@ BETA21MIN        %le    0.00000
@ BETA21MAX        %le    0.00000
@ BETA22MIN        %le    1.00000
@ BETA22MAX        %le    1.00000
@ BETA23MIN        %le    0.00000
@ BETA23MAX        %le    0.00000
@ BETA31MIN        %le    0.00000
@ BETA31MAX        %le    0.00000
@ BETA32MIN        %le    0.00000
@ BETA32MAX        %le    0.00000
@ BETA33MIN        %le    0.00000
@ BETA33MAX        %le    0.00000
@ DISP1MIN         %le    0.00000
@ DISP1MAX         %le    0.00000
@ DISP2MIN         %le    0.00000
@ DISP2MAX         %le    0.00000
@ DISP3MIN         %le    0.00000
@ DISP3MAX         %le    0.00000
@ DISP4MIN         %le    0.00000
@ DISP4MAX         %le    0.00000
@ ORBIT_X          %le    0.00000
@ ORBIT_PX         %le    0.00000
@ ORBIT_Y          %le    0.00000
@ ORBIT_PY         %le    0.00000
@ ORBIT_PT         %le    0.00000
@ ORBIT_-CT        %le    0.00000
@ XCORMS           %le    0.00000
@ PXCORMS          %le    0.00000
@ YCORMS           %le    0.00000
@ PYCORMS          %le    0.00000
@ TCORMS           %le    0.00000
@ PTCORMS          %le    0.00000
@ XCOMIN           %le    0.00000
@ XCOMAX           %le    0.00000
@ PXCOMIN          %le    0.00000
@ PXCOMAX          %le    0.00000
@ YCOMIN           %le    0.00000
@ YCOMAX           %le    0.00000
@ PYCOMIN          %le    0.00000
@ PYCOMAX          %le    0.00000
@ TCOMIN           %le    0.00000
@ TCOMAX           %le    0.00000
@ PTCOMIN          %le    0.00000
@ PTCOMAX          %le    0.00000
@ TITLE            %08s "no-title"
@ ORIGIN           %22s "MAD-X 5.02.00 Linux 64"
@ DATE             %08s "17/07/14"
@ TIME             %08s "21.59.47"
* NAME                          S         L         X        PX    ALFA11    BETA11     DISP1         Y        PY    ALFA22    BETA22     DISP3 
$ %s                          %le       %le       %le       %le       %le       %le       %le       %le       %le       %le       %le       %le 
 "SEQ$START"              0.00000   0.00000   0.00000   0.00000  -0.00000   1.00000   0.00000   0.00000   0.00000  -0.00000   1.00000   0.00000
 "BEGSEQ"                 0.00000   0.00000   0.00000   0.00000  -0.00000   1.00000   0.00000   0.00000   0.00000  -0.00000   1.00000   0.00000
 "QUAD1"                  0.00000   1.00000   0.00000   0.00000  -0.00000   1.00000   0.00000   0.00000   0.00000  -0.00000   1.00000   0.00000
 "ENDSEQ"                 0.00000   0.00000   0.00000   0.00000  -0.00000   1.00000   0.00000   0.00000   0.00000  -0.00000   1.00000   0.00000
 "SEQ$END"                0.00000   0.00000   0.00000   0.00000  -0.00000   1.00000   0.00000   0.00000   0.00000  -0.00000   1.00000   0.00000
